x_value,total_1,total_2
0,1000,1000
1,1001,1003
2,1002,1000
3,1010,999
4,1008,1005
5,1002,1005
6,1001,1008
7,998,1012
8,993,1016
9,1000,1012
10,999,1008
11,1001,1008
12,1004,1010
13,1010,1013
14,1013,1013
15,1015,1013
16,1013,1018
17,1012,1013
18,1007,1014
19,1014,1019
20,1008,1018
21,1005,1017
22,1005,1017
23,1008,1017
24,1004,1020
25,1003,1015
26,1006,1019
27,1014,1015
28,1010,1020
29,1017,1020
30,1013,1016
31,1015,1018
32,1015,1018
33,1017,1019
34,1020,1024
35,1027,1021
36,1027,1021
37,1032,1022
38,1032,1019
39,1034,1019
40,1033,1022
41,1039,1028
42,1044,1032
43,1038,1037
44,1037,1034
45,1045,1035
46,1052,1035
47,1056,1032
48,1054,1033
49,1056,1029
50,1061,1032
51,1057,1035
52,1059,1038
53,1062,1036
54,1067,1032
55,1063,1027
56,1060,1030
57,1056,1032
58,1058,1038
59,1056,1044
60,1059,1047
61,1066,1044
62,1071,1046
63,1069,1041
64,1068,1046
65,1073,1042
66,1070,1037
67,1077,1034
68,1081,1031
69,1078,1029
70,1084,1028
71,1084,1023
72,1086,1026
73,1085,1031
74,1092,1037
75,1094,1038
76,1099,1035
77,1093,1034
78,1095,1040
79,1103,1037
80,1099,1034
81,1106,1034
82,1103,1038
83,1099,1041
84,1098,1039
85,1100,1042
86,1107,1040
87,1113,1040
88,1117,1044
89,1125,1040
90,1125,1041
91,1124,1045
92,1129,1048
93,1130,1046
94,1130,1045
95,1126,1040
96,1129,1039
97,1131,1038
98,1132,1041
